race_date,stadium_number,race_number,race_closed_at,race_grade_number,race_title,boat_number,racer_number,racer_name,racer_class_number,racer_age,racer_weight,racer_flying_count,racer_late_count,racer_average_start_timing,racer_national_top_1_percent,racer_national_top_2_percent,racer_national_top_3_percent,racer_local_top_1_percent,racer_local_top_2_percent,racer_local_top_3_percent,racer_assigned_motor_top_2_percent,racer_assigned_motor_top_3_percent,racer_assigned_boat_top_2_percent,racer_assigned_boat_top_3_percent
2026-07-29,4,1,2026-07-29 11:54:00,5,マクール杯 ヴィーナスシリーズ第9戦,1,5165,小林 愛実,3,26,47.5,0,0,0.16,3.76,16.85,29.21,5.25,25,60,44.83,58.62,31.82,40.91
2026-07-29,4,1,2026-07-29 11:54:00,5,マクール杯 ヴィーナスシリーズ第9戦,2,4853,前原 哉,3,31,45.5,0,0,0.22,4.69,22.5,43.75,4.75,25,37.5,33.33,54.17,39.13,69.57
2026-07-29,4,1,2026-07-29 11:54:00,5,マクール杯 ヴィーナスシリーズ第9戦,3,4891,寺島 美里,3,36,47,0,0,0.16,5,26.92,42.31,4.17,20.69,31.03,22.73,45.45,39.13,39.13
2026-07-29,4,1,2026-07-29 11:54:00,5,マクール杯 ヴィーナスシリーズ第9戦,4,4443,津田 裕絵,3,39,49.8,0,0,0.19,5.61,37.98,56.59,4.71,28.57,57.14,29.17,70.83,41.67,54.17
2026-07-29,4,1,2026-07-29 11:54:00,5,マクール杯 ヴィーナスシリーズ第9戦,5,4225,土屋 千明,2,44,45.5,0,0,0.15,6.4,45.33,66.67,6.52,55.17,72.41,48,64,13.64,27.27
2026-07-29,4,1,2026-07-29 11:54:00,5,マクール杯 ヴィーナスシリーズ第9戦,6,5436,市川 瑚幸,4,21,46.5,0,0,0.22,1.28,0,0,1.27,0,0,39.13,56.52,19.05,42.86
2026-07-29,4,2,2026-07-29 12:23:00,5,マクール杯 ヴィーナスシリーズ第9戦,1,4689,豊田 結,3,33,53.2,0,0,0.16,5.15,31.91,53.19,5.93,41.38,62.07,40,40,32.26,41.94
2026-07-29,4,2,2026-07-29 12:23:00,5,マクール杯 ヴィーナスシリーズ第9戦,2,5361,植竹 玲奈,3,19,47.8,0,0,0.23,2.53,2.94,11.76,1.96,1.96,3.92,27.27,36.36,13.64,27.27
2026-07-29,4,2,2026-07-29 12:23:00,5,マクール杯 ヴィーナスシリーズ第9戦,3,5241,門田 栞,3,26,47.4,1,0,0.18,5.11,29.25,49.06,5.08,32,52,56.52,69.57,40.91,54.55
2026-07-29,4,2,2026-07-29 12:23:00,5,マクール杯 ヴィーナスシリーズ第9戦,4,5324,畑田 希咲,3,23,47.7,0,0,0.21,2.36,1.69,6.78,0,0,0,41.38,72.41,47.83,60.87
2026-07-29,4,2,2026-07-29 12:23:00,5,マクール杯 ヴィーナスシリーズ第9戦,5,4286,平田 さやか,2,42,47.6,0,0,0.15,6.02,42.65,61.76,5.5,33.33,53.33,54.17,54.17,30.43,52.17
2026-07-29,4,2,2026-07-29 12:23:00,5,マクール杯 ヴィーナスシリーズ第9戦,6,5380,野田 亜湖,4,21,51.3,0,0,0.28,1.24,0,0,1.17,0,0,23.81,38.1,40,60
2026-07-29,4,3,2026-07-29 12:53:00,5,マクール杯 ヴィーナスシリーズ第9戦,1,5317,長尾 萌加,3,25,45.5,0,0,0.17,4.86,24.32,46.85,4.64,9.09,54.55,16,36,30.77,65.38
2026-07-29,4,3,2026-07-29 12:53:00,5,マクール杯 ヴィーナスシリーズ第9戦,2,5326,三嶌 さらら,3,22,47,0,0,0.19,5.19,32.31,46.15,1.29,0,0,39.13,56.52,42.31,57.69
2026-07-29,4,3,2026-07-29 12:53:00,5,マクール杯 ヴィーナスシリーズ第9戦,3,5194,大久保 佑香,3,24,44,1,0,0.18,4.22,25.61,35.37,3.44,11.11,22.22,22.73,36.36,18.18,36.36
2026-07-29,4,3,2026-07-29 12:53:00,5,マクール杯 ヴィーナスシリーズ第9戦,4,4746,大豆生田 蒼,3,31,47,0,0,0.2,5.42,32.05,53.85,6.23,48.39,67.74,50,66.67,16.67,33.33
2026-07-29,4,3,2026-07-29 12:53:00,5,マクール杯 ヴィーナスシリーズ第9戦,5,4190,長嶋 万記,4,45,49.1,0,0,0.16,6.85,46.81,68.09,5.22,27.78,55.56,61.29,77.42,40.91,68.18
2026-07-29,4,3,2026-07-29 12:53:00,5,マクール杯 ヴィーナスシリーズ第9戦,6,4825,倉持 莉々,1,32,47.4,0,0,0.14,6.79,47.93,70.25,5.84,44.9,59.18,47.83,73.91,36.36,50
2026-07-29,4,4,2026-07-29 13:23:00,5,マクール杯 ヴィーナスシリーズ第9戦,1,4244,鈴木 成美,4,39,45,0,0,0.16,4.03,28.57,34.29,4.88,34.62,46.15,26.09,65.22,60.87,60.87
2026-07-29,4,4,2026-07-29 13:23:00,5,マクール杯 ヴィーナスシリーズ第9戦,2,4464,山下 友貴,1,40,43.5,0,0,0.19,6.12,41.07,66.07,5.5,40,45,28,56,27.27,31.82
2026-07-29,4,4,2026-07-29 13:23:00,5,マクール杯 ヴィーナスシリーズ第9戦,3,4680,後藤 美翼,2,36,47,0,0,0.21,5.37,33.64,51.4,5.4,40,47.5,48.28,58.62,9.52,28.57
2026-07-29,4,4,2026-07-29 13:23:00,5,マクール杯 ヴィーナスシリーズ第9戦,4,5231,寺田 空詩,3,22,44.5,0,0,0.17,6.48,46.84,69.62,4.8,30,40,32,48,29.41,41.18
2026-07-29,4,4,2026-07-29 13:23:00,5,マクール杯 ヴィーナスシリーズ第9戦,5,5251,沼田 七華,4,23,49.5,0,0,0.17,2.12,0,8.82,1.92,0,8,38.1,52.38,33.33,59.26
2026-07-29,4,4,2026-07-29 13:23:00,5,マクール杯 ヴィーナスシリーズ第9戦,6,5347,井澤 聖奈,4,22,45,0,0,0.21,1.58,0,3.03,1.46,0,0,33.33,50,43.48,65.22
2026-07-29,4,5,2026-07-29 13:54:00,5,マクール杯 ヴィーナスシリーズ第9戦,1,4765,野田部 宏子,3,36,50.9,1,0,0.13,4.5,24.32,40.54,4.36,18.18,36.36,50,59.09,45.83,70.83
2026-07-29,4,5,2026-07-29 13:54:00,5,マクール杯 ヴィーナスシリーズ第9戦,2,5174,川井 萌,4,24,45.5,1,0,0.19,5.37,28.05,52.44,6.8,50,80,40.91,54.55,33.33,51.85
2026-07-29,4,5,2026-07-29 13:54:00,5,マクール杯 ヴィーナスシリーズ第9戦,3,4893,渡邉 真奈美,3,35,46.5,0,0,0.16,4.97,29.35,42.39,5.34,34.29,48.57,30.43,43.48,31.82,40.91
2026-07-29,4,5,2026-07-29 13:54:00,5,マクール杯 ヴィーナスシリーズ第9戦,4,4627,藤原 菜希,2,40,47.8,0,0,0.15,6.53,51.61,64.52,5.85,40.74,48.15,40,65,37.5,50
2026-07-29,4,5,2026-07-29 13:54:00,5,マクール杯 ヴィーナスシリーズ第9戦,5,4208,三浦 永理,1,43,47,0,0,0.15,7.05,55.88,74.26,7.2,60,80,15.38,30.77,32,60
2026-07-29,4,5,2026-07-29 13:54:00,5,マクール杯 ヴィーナスシリーズ第9戦,6,5389,恵良 琴美,3,19,43.5,0,0,0.19,2.24,0,10.67,0,0,0,29.17,45.83,18.18,22.73
2026-07-29,4,6,2026-07-29 14:25:00,5,マクール杯 ヴィーナスシリーズ第9戦,1,4419,原 加央理,2,38,45.5,0,0,0.16,5.77,38.04,59.78,6.9,60,80,39.13,78.26,40.91,40.91
2026-07-29,4,6,2026-07-29 14:25:00,5,マクール杯 ヴィーナスシリーズ第9戦,2,4546,浜田 亜理沙,3,38,47,0,0,0.17,7.03,54.95,74.73,6.42,46.15,57.69,31.82,59.09,30.43,52.17
2026-07-29,4,6,2026-07-29 14:25:00,5,マクール杯 ヴィーナスシリーズ第9戦,3,4714,喜多須 杏奈,3,35,47.7,0,0,0.17,5.03,25.58,48.84,5.41,45.45,54.55,27.27,36.36,30.43,43.48
